year,category,value
2004,18-20,770
2004,21-25,1316
2004,26-30,1428
2004,31-35,1764
2004,36-40,2156
2004,41-45,2160
2004,46-50,1603
2004,51-55,1305
2004,56-60,759
2004,61-65,725
2004,66及以上,1619
2004,小學及以下,3281
2004,國中,1876
2004,高中、高職,5325
2004,專科,2527
2004,大學,2922
2004,研究所及以上,527
2005,18-20,1090
2005,21-25,1510
2005,26-30,1558
2005,31-35,1687
2005,36-40,2025
2005,41-45,2004
2005,46-50,1566
2005,51-55,1231
2005,56-60,747
2005,61-65,684
2005,66及以上,1727
2005,小學及以下,3100
2005,國中,1737
2005,高中、高職,5467
2005,專科,2519
2005,大學,3201
2005,研究所及以上,566
2006,18-20,1077
2006,21-25,1463
2006,26-30,1559
2006,31-35,1724
2006,36-40,2123
2006,41-45,2143
2006,46-50,1578
2006,51-55,1227
2006,56-60,860
2006,61-65,632
2006,66及以上,1648
2006,小學及以下,2899
2006,國中,1770
2006,高中、高職,5330
2006,專科,2643
2006,大學,3498
2006,研究所及以上,625
2007,18-20,980
2007,21-25,1239
2007,26-30,1536
2007,31-35,1614
2007,36-40,2044
2007,41-45,1994
2007,46-50,1736
2007,51-55,1320
2007,56-60,1004
2007,61-65,588
2007,66及以上,1657
2007,小學及以下,2787
2007,國中,1791
2007,高中、高職,5337
2007,專科,2483
2007,大學,3443
2007,研究所及以上,592
2008,18-20,1037
2008,21-25,1222
2008,26-30,1472
2008,31-35,1749
2008,36-40,2065
2008,41-45,1997
2008,46-50,1850
2008,51-55,1372
2008,56-60,1176
2008,61-65,709
2008,66及以上,1763
2008,小學及以下,2841
2008,國中,1726
2008,高中、高職,5416
2008,專科,2399
2008,大學,3681
2008,研究所及以上,730
2009,18-20,931
2009,21-25,1171
2009,26-30,1398
2009,31-35,1641
2009,36-40,1988
2009,41-45,1977
2009,46-50,1811
2009,51-55,1351
2009,56-60,1265
2009,61-65,682
2009,66及以上,1621
2009,小學及以下,2590
2009,國中,1600
2009,高中、高職,5185
2009,專科,2389
2009,大學,3660
2009,研究所及以上,748
2010,18-20,1012
2010,21-25,1008
2010,26-30,1192
2010,31-35,1533
2010,36-40,1754
2010,41-45,1980
2010,46-50,1845
2010,51-55,1494
2010,56-60,1319
2010,61-65,855
2010,66及以上,1949
2010,小學及以下,2685
2010,國中,1718
2010,高中、高職,4992
2010,專科,2240
2010,大學,3824
2010,研究所及以上,764
2011,18-20,966
2011,21-25,1015
2011,26-30,1152
2011,31-35,1523
2011,36-40,1678
2011,41-45,1866
2011,46-50,1832
2011,51-55,1659
2011,56-60,1495
2011,61-65,1007
2011,66及以上,2392
2011,小學及以下,2961
2011,國中,1831
2011,高中、高職,5091
2011,專科,2241
2011,大學,3865
2011,研究所及以上,857
2012,18-20,915
2012,21-25,1034
2012,26-30,964
2012,31-35,1330
2012,36-40,1601
2012,41-45,1888
2012,46-50,1777
2012,51-55,1660
2012,56-60,1709
2012,61-65,1248
2012,66及以上,2592
2012,小學及以下,3069
2012,國中,1798
2012,高中、高職,4998
2012,專科,2266
2012,大學,3956
2012,研究所及以上,830
2013,18-20,873
2013,21-25,1186
2013,26-30,1255
2013,31-35,1714
2013,36-40,2085
2013,41-45,2501
2013,46-50,2825
2013,51-55,2939
2013,56-60,2777
2013,61-65,2443
2013,66及以上,4417
2013,小學及以下,4898
2013,國中,2785
2013,高中、高職,7301
2013,專科,3285
2013,大學,5426
2013,研究所及以上,1320
2014,18-20,1054
2014,21-25,1175
2014,26-30,1154
2014,31-35,1661
2014,36-40,1874
2014,41-45,2289
2014,46-50,2480
2014,51-55,2821
2014,56-60,2814
2014,61-65,2683
2014,66及以上,4611
2014,小學及以下,4793
2014,國中,2841
2014,高中、高職,7014
2014,專科,3152
2014,大學,5399
2014,研究所及以上,1354
2015,18-20,935
2015,21-25,1184
2015,26-30,1053
2015,31-35,1534
2015,36-40,1932
2015,41-45,2094
2015,46-50,2405
2015,51-55,2861
2015,56-60,2835
2015,61-65,2736
2015,66及以上,4758
2015,小學及以下,4491
2015,國中,2725
2015,高中、高職,7053
2015,專科,3307
2015,大學,5882
2015,研究所及以上,1486
2016,18-20,944
2016,21-25,1184
2016,26-30,1096
2016,31-35,1480
2016,36-40,2049
2016,41-45,2092
2016,46-50,2351
2016,51-55,2674
2016,56-60,2755
2016,61-65,2775
2016,66及以上,5072
2016,小學及以下,4377
2016,國中,2762
2016,高中、高職,6870
2016,專科,3166
2016,大學,6130
2016,研究所及以上,1623
